Name,Version,Date,Sha256
Debian-Bullseye,11.6,2021-08-14,e482910626b30f9a7de9b0cc142c3d4a079fbfa96110083be1d0b473671ce08d
Debian-Bookworm,12.11,2023-06-10,30ca12a15cae6a1033e03ad59eb7f66a6d5a258dcf27acd115c2bd42d22640e8
